Config, Result
raidz/randrw/6disk2vdev/generaluse Read,13.833
raidz/randrw/6disk2vdev/generaluse Write,14.083
raidz/randrw/6disk2vdev/worstcase Read,.191
raidz/randrw/6disk2vdev/worstcase Write,.199
raidz/randrw/6disk2vdevUneven/bestcase Read,43.783
raidz/randrw/6disk2vdevUneven/bestcase Write,45.666
raidz/randrw/6disk2vdevUneven/generaluse Read,10.883
raidz/randrw/6disk2vdevUneven/generaluse Write,11.150
raidz/randrw/6disk2vdevUneven/worstcase Read,.184
raidz/randrw/6disk2vdevUneven/worstcase Write,.192
raidz/randrw/6disk3vdev/bestcase Read,43.516
raidz/randrw/6disk3vdev/bestcase Write,45.383
raidz/randrw/6disk3vdev/generaluse Read,18.783
raidz/randrw/6disk3vdev/generaluse Write,18.933
raidz/randrw/6disk3vdev/worstcase Read,.215
raidz/randrw/6disk3vdev/worstcase Write,.223
raidz2/read/3/bestcase,186.000
raidz2/read/3/generaluse,225.666
raidz2/read/3/worstcase,188.666
raidz2/read/4/bestcase,314.833
raidz2/read/4/generaluse,196.000
raidz2/read/4/worstcase,172.333
raidz2/read/5/bestcase,422.166
raidz2/read/5/generaluse,308.166
raidz2/read/5/worstcase,161.833
raidz2/read/6/bestcase,553.833
raidz2/read/6/generaluse,417.666
raidz2/read/6/worstcase,158.500
raidz2/read/6disk2vdev/bestcase,346.333
raidz2/read/6disk2vdev/generaluse,436.833
raidz2/read/6disk2vdev/worstcase,182.666
raidz2/write/3/bestcase,105.666
raidz2/write/3/generaluse,78.050
raidz2/write/3/worstcase,62.816
raidz2/write/4/bestcase,150.166
raidz2/write/4/generaluse,91.700
raidz2/write/4/worstcase,72.216
raidz2/write/5/bestcase,175.166
raidz2/write/5/generaluse,112.000
raidz2/write/5/worstcase,75.300
raidz2/write/6/bestcase,183.833
raidz2/write/6/generaluse,119.000
raidz2/write/6/worstcase,77.416
raidz2/write/6disk2vdev/bestcase,159.833
